Job Title,Company,Location,Work Type,Salary,Link
Sales Service,PT Fujitec Indonesia,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Kurang dari setahun,N/A,https://glints.com/id/opportunities/jobs/sales-service/b03e3464-bf38-4bc9-9239-cc7088f5d920?utm_referrer=explore
Front Office Intern,Synergy Pro Business Consulting,"Kuta, Badung, Bali, Indonesia",Minimal SMA/SMK,N/A,https://glints.com/id/opportunities/jobs/front-office-intern/11996f2a-193f-4b2e-80ca-e059c133f0b2?utm_referrer=explore
QUALITY MANAGEMENT SYSTEM (MAGANG),"Pt Diagnos Laboratorium Utama, Tbk","Menteng, Jakarta Pusat, DKI Jakarta, Indonesia",Aktif Dan Inisiatif,N/A,https://glints.com/id/opportunities/jobs/quality-management-system-magang/01f3cfe0-b66b-4421-ac83-c9b138cf2e87?utm_referrer=explore
Asisten Dokter Gigi,Orthosmile Dental Care Clinic,"Kelapa Gading, Jakarta Utara, DKI Jakarta, Indonesia",+2,N/A,https://glints.com/id/opportunities/jobs/asisten-dokter-gigi/1f44f653-65a1-48b1-8c20-33eebc080fe9?utm_referrer=explore
Frontend Developer Intern,Seeds Finance,"Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Penuh Waktu,N/A,https://glints.com/id/opportunities/jobs/frontend-developer-intern/d7484d26-dedf-4f05-bcf0-1c67da25db8e?utm_referrer=explore
Crew - Part Time,Dímsām,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Kurang dari setahun,N/A,https://glints.com/id/opportunities/jobs/crew-part-time/312220d1-51c2-4034-a5b7-68bc12a80929?utm_referrer=explore
Crew - Full Time,Dímsām,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Penuh Waktu,"Rp1,6jt-Rp2,5jt",https://glints.com/id/opportunities/jobs/crew-full-time/3807db00-464f-488e-a957-f6e2d97b34b7?utm_referrer=explore
Ecommerce Trainee (Mandarin Speaker),PT. Selalu Sukses Prima,"Serpong Utara, Tangerang Selatan, Banten, Indonesia",Kurang dari setahun,"Rp3,5jt-Rp4jt",https://glints.com/id/opportunities/jobs/ecommerce-trainee-mandarin-speaker/2ab45d9c-5fb1-4bfc-87c4-b93cc0e11004?utm_referrer=explore
Host Live Streaming,GIO CARDIN,"Bojongloa Kidul, Bandung, Jawa Barat, Indonesia",Minimal SMA/SMK,Rp1jt,https://glints.com/id/opportunities/jobs/host-live-streaming/30a641aa-c685-4d30-acaa-c4e24ca6dd60?utm_referrer=explore
Business Development Executive Intern,Seeds Finance,"Tanah Abang, Jakarta Pusat, DKI Jakarta, Indonesia",Bisa bekerja dalam team,"Rp2,1jt-Rp3jt",https://glints.com/id/opportunities/jobs/business-development-executive-intern/2ab6b980-42c1-40c6-a63a-8534c3ca5c8c?utm_referrer=explore
Sales Showroom,PT Smoot Motor Indonesia,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",+2,Rp500rb-Rp1jt,https://glints.com/id/opportunities/jobs/sales-showroom/580ff7e2-1d89-467b-bdb5-25895bbad661?utm_referrer=explore
SPG dan SPB,PT Smoot Motor Indonesia,"Kebon Jeruk, Jakarta Barat, DKI Jakarta, Indonesia",Penuh Waktu,"Rp3jt-Rp3,5jt",https://glints.com/id/opportunities/jobs/spg-dan-spb/2d552b15-bc42-4c42-9662-a502e973fb03?utm_referrer=explore
Sales Consultant,BMW Astra Surabaya,"Suko Manunggal, Surabaya, Jawa Timur, Indonesia",Kurang dari setahun,Rp500rb-Rp1jt,https://glints.com/id/opportunities/jobs/sales-consultant/e9e76e63-2939-4504-be93-659edc0b9c0b?utm_referrer=explore
Spa Therapist,GRAND MIRAGE BALI,"Kuta Selatan, Badung, Bali, Indonesia",Minimal Sarjana (S1),N/A,https://glints.com/id/opportunities/jobs/spa-therapist/a6258035-74a8-4e89-9a9e-774a00b20119?utm_referrer=explore
Photo Editor - Night Shift Yogyakarta,Mindreach Consulting,"Kapanewon Mlati, Sleman, DI Yogyakarta, Indonesia",Fluent In Mandarin,N/A,https://glints.com/id/opportunities/jobs/photo-editor-night-shift-yogyakarta/000bf5c1-7bcd-4a32-b4a4-180bcc9656a1?utm_referrer=explore
Social Media Design,GEA BABY,"Benda, Tangerang, Banten, Indonesia",+2,N/A,https://glints.com/id/opportunities/jobs/social-media-design/8124f55f-e018-4364-aa1c-010b01a337c8?utm_referrer=explore
Host Live Streaming,PT. BINTANG SEMESTA CAKRAWALA,"Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia",Kontrak,N/A,https://glints.com/id/opportunities/jobs/host-live-streaming/f05899c0-2583-4608-a29f-9516f9a6c31a?utm_referrer=explore
Magang IT,PT. Kobe Boga Utama,"Curug, Tangerang, Banten, Indonesia",Kurang dari setahun,N/A,https://glints.com/id/opportunities/jobs/magang-it/01d9c058-efa9-4d6b-8739-7aaa9b7b703c?utm_referrer=explore
Housekeeping (Trainee),Baleka Resort Bali,"Kuta, Badung, Bali, Indonesia",Minimal SMA/SMK,N/A,https://glints.com/id/opportunities/jobs/housekeeping-trainee/b4ca7687-fb80-4a3e-9f7d-760bf4b9b00b?utm_referrer=explore
Front Office (Trainee),Baleka Resort Bali,"Kuta, Badung, Bali, Indonesia",Hosting Skills,N/A,https://glints.com/id/opportunities/jobs/front-office-trainee/0f1018b3-cad4-4907-9d81-4a86d1258eba?utm_referrer=explore
BARISTA SERVICE CREW,Maison Feerie,"Tangerang, Tangerang, Banten, Indonesia",Good In Selling Skill,N/A,https://glints.com/id/opportunities/jobs/barista-service-crew/22dfebc7-2048-4ca1-80da-96df596788fe?utm_referrer=explore
